id,title,description,availability,condition,price,sale_price,link,image_link,brand,google_product_category,identifier_exists
0c7wbr5J8Lo6x4TET3GA,Fresh N Local Guava Kick,Creamy pink guava cold-pressed with a dusting of safe hand-pounded red spices for that classic local kick.,in stock,new,150.00 INR,,https://www.freshnlocal.co/product/0c7wbr5J8Lo6x4TET3GA,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782974239087_1000003960.jpg?alt=media&token=3c06e5fb-37e2-49f5-98bb-08a9ae675028,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
0duzwYLaN002ifkjV49d,Fresh N Local Fresh Pineapple Juice,Lively tropical pineapple elixir cold-squeezed to maintain dietary enzymes and bright flavor.,in stock,new,100.00 INR,,https://www.freshnlocal.co/product/0duzwYLaN002ifkjV49d,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782974328952_1000003998.jpg?alt=media&token=2480095f-2f4a-4787-bc97-6b081988e85d,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
0ewEwy7UFkGMLwQDGDZf,Fresh N Local Fresh Orange Juice,Sun-golden Nagpur oranges pressed cold with pulp particles for a full spectrum sweet and tangy experience.,in stock,new,100.00 INR,,https://www.freshnlocal.co/product/0ewEwy7UFkGMLwQDGDZf,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782974448402_1000003999.jpg?alt=media&token=3629fa95-cd13-4ab5-87fd-ebf0b13968c3,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
0g8wGruaZXOS63GcEDay,Fresh N Local Jamun Shikanji,Traditional cooling lemonade enriched with seasonal black plum (jamun) pulp and rock salts.,in stock,new,120.00 INR,,https://www.freshnlocal.co/product/0g8wGruaZXOS63GcEDay,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782997691365_1000004022.jpg?alt=media&token=c652d1ed-ac3b-490c-b36e-876c41ddb168,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
0l4u1QeqtxTKX1A8jtlb,Fresh N Local Coco Drip,Indulgent coconut milk chocolate milkshake crafted with premium cocoa and coconut bits.,in stock,new,100.00 INR,,https://www.freshnlocal.co/product/0l4u1QeqtxTKX1A8jtlb,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782997945820_1000004023.jpg?alt=media&token=fe0bc138-d31b-49b2-825c-0874c3f7a920,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
0mQaVIvarblAe5Db6l8b,Fresh N Local Grapes Glow,Anti-ageing deep black grape juice cold-pressed to release skin-loving resveratrol.,in stock,new,150.00 INR,,https://www.freshnlocal.co/product/0mQaVIvarblAe5Db6l8b,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782974876805_1000003963.jpg?alt=media&token=0ec56fd1-cfb5-4ad2-9ea5-bf758bc2f943,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
0o8zPco2pUskY1RoGRVr,Fresh N Local Jerusalem Artichoke 250gm,Imported ,in stock,new,350.00 INR,300.00 INR,https://www.freshnlocal.co/product/0o8zPco2pUskY1RoGRVr,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F0o8zPco2pUskY1RoGRVr%2Foriginal.webp?alt=media&token=5ccc1080-ff81-441f-a0ee-6f751fbe55a3,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
0poQrvObUzbdtZx4vdOc,Fresh N Local Wheatgrass Juice,"Raw living chlorophyll shot of fresh tender wheatgrass, cold-pressed with touch of sweet apple.",in stock,new,100.00 INR,,https://www.freshnlocal.co/product/0poQrvObUzbdtZx4vdOc,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782997603483_1000004020.jpg?alt=media&token=22995b79-6861-4ce9-b804-5d6ecc98c8cd,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
0qbXulcLjIC6MPDi2RXx,Fresh N Local Mango Smoothie,Creamy whipped Alphonso mango pulp blended with unsweetened organic almond milk.,in stock,new,150.00 INR,,https://www.freshnlocal.co/product/0qbXulcLjIC6MPDi2RXx,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1783174068980_1000004110.jpg?alt=media&token=5c7a789b-4fc8-4c6a-a75d-aae4c7e3f35f,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
0qe24Zt8DRDbkBRwPWtb,Fresh N Local Raw Jackfruit Chunks 300gm,ALL FRUITS AND VEGETABLE ARE CUT AND PEELED IN CONTROLED AND HYGENIC ENVIROMENT AND IT IS PREPARED WITH IN 60 MIN OF DELIVERY TIME,in stock,new,60.00 INR,50.00 INR,https://www.freshnlocal.co/product/0qe24Zt8DRDbkBRwPWtb,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782816790071_1000192042.jpg?alt=media&token=a9980421-9381-4dcb-95b6-06e3116fd3f9,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
0yZGAzbVAAhz7LD0TQnv,Fresh N Local Premium Goldenberry 1kg,"Organic and Super Sweet, Sourced Directly From Ooty",out of stock,new,550.00 INR,500.00 INR,https://www.freshnlocal.co/product/0yZGAzbVAAhz7LD0TQnv,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1783156936736_1000191894.jpg?alt=media&token=b2ea3f34-f113-4439-96c4-542917798151,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
15S72PTH15jaOrMSCxuT,Fresh N Local Gulabo Litchi,Sensational fragrant rose petal preserve (gulkand) layered with sweet white litchi premium nectar.,in stock,new,150.00 INR,,https://www.freshnlocal.co/product/15S72PTH15jaOrMSCxuT,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1783175060813_1000004115.jpg?alt=media&token=abb46aef-433a-4e2b-acab-448690818825,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
15vsSluaCAEPmns6nk3H,Fresh N Local Coconut Kulukki,"Famous shaken coconut water with sweet basil seeds (sabja), crushed ginger and green chili slice.",in stock,new,120.00 INR,,https://www.freshnlocal.co/product/15vsSluaCAEPmns6nk3H,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782997793981_1000004012.jpg?alt=media&token=fd87b53a-07f3-44ca-bcc5-744f9413495d,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
1BWJM5YjXeBb8kYVTWU5,Fresh N Local Super Sattu,"High-protein roasted gram flour energy drink spiced with mint, green chili, chat masala and cold spring water.",in stock,new,200.00 INR,,https://www.freshnlocal.co/product/1BWJM5YjXeBb8kYVTWU5,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782997726877_1000004021.jpg?alt=media&token=edb5bb28-0f68-4e0d-84fb-9cc5fe41ba59,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
1Ck9GUxnQjYIreoNlule,Fresh N Local Aam Panna,"Traditional roasted green mango drink flavored with cumin, black salt and mint leaves.",in stock,new,120.00 INR,,https://www.freshnlocal.co/product/1Ck9GUxnQjYIreoNlule,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782997835695_1000004025.jpg?alt=media&token=f53c2f5f-d8cc-4d42-9446-5e6f0347a34a,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
1akXxXu1MJ8c1fgPuBvQ,Fresh N Local Fresh Watermelon Juice,Pure hydraulic pressure extraction from sun-ripened red watermelons. Ultimate crisp freshness.,in stock,new,60.00 INR,,https://www.freshnlocal.co/product/1akXxXu1MJ8c1fgPuBvQ,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782974515850_1000003970.jpg?alt=media&token=80ab48f9-0fde-4e78-8092-9f3aa0b5d194,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
1cXDZVcFg5Y7k4DBKITy,Fresh N Local Green Goodness,"Nutrient-packed juice of spinach, mint, cucumber, celery, kiwi and green apple.",in stock,new,100.00 INR,,https://www.freshnlocal.co/product/1cXDZVcFg5Y7k4DBKITy,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782974925239_1000003965.jpg?alt=media&token=1e3255d3-1537-45f5-9f06-6c7ed6bd386a,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
1dJeDc7CQ0x39sKlOuCs,Fresh N Local Coco Drip With Mango,Fabulous double drip combining rich coconut chocolate milkshake with mango pulp swirls.,in stock,new,150.00 INR,,https://www.freshnlocal.co/product/1dJeDc7CQ0x39sKlOuCs,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782997972905_1000004024.jpg?alt=media&token=b4e0c551-925a-4c33-9611-cb3d6a241c9b,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
1nCTKP8KvrQU8faxjMxz,Fresh N Local Fresh Chives 10gm,Fresh Chives ,out of stock,new,50.00 INR,20.00 INR,https://www.freshnlocal.co/product/1nCTKP8KvrQU8faxjMxz,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1nCTKP8KvrQU8faxjMxz%2Foriginal.webp?alt=media&token=d99551c6-c92f-46df-a2e3-0fde7c1f69cb,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
1r6ln5RmwbChsXipY6kB,Fresh N Local Kokum Katira,Tangy Konkan kokum fruit skin infusion blended with natural cooling tragacanth gum (gond katira).,in stock,new,120.00 INR,,https://www.freshnlocal.co/product/1r6ln5RmwbChsXipY6kB,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1r6ln5RmwbChsXipY6kB%2Foriginal.webp?alt=media&token=9ef05034-e79b-4057-97af-b51d80ce27a2,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
213VSzwpjuzMPL3uuHL3,Fresh N Local Mango Juice,Lush pulp of selected regional mangoes cold-pushed to make a smooth golden velvet juice.,in stock,new,80.00 INR,,https://www.freshnlocal.co/product/213VSzwpjuzMPL3uuHL3,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782999851982_1000004029.jpg?alt=media&token=65c8fa14-d4c7-48b6-9c7b-517adddff25a,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
27LLeX5lZ0MQXW6aKd6s,Fresh N Local Abc Juice,"The classic miracle elixir: Fresh Apple, vibrant Beetroot, and young Carrot. High-performance detox.",in stock,new,100.00 INR,,https://www.freshnlocal.co/product/27LLeX5lZ0MQXW6aKd6s,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782997644857_1000004026.jpg?alt=media&token=d962473b-14fe-41b0-bb2a-0744d13d471e,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
2T8ReYALckApss9E9VMJ,Fresh N Local Moringa Avocado Smoothie,"Extreme green boost: organic moringa leaves, creamy avocado, and ripe naturally sweet banana.",in stock,new,200.00 INR,,https://www.freshnlocal.co/product/2T8ReYALckApss9E9VMJ,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1783174115607_1000004108.jpg?alt=media&token=bf5e5a39-b15c-4aba-9ec8-a1283c9fd696,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
2YYhmsvRk8sk8lQ4gmBr,Fresh N Local Kesar Badam Thandai,"Rich traditional royal beverage loaded with saffron, almonds, fennel seeds, and cardamoms.",in stock,new,150.00 INR,,https://www.freshnlocal.co/product/2YYhmsvRk8sk8lQ4gmBr,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782998008801_1000003967.jpg?alt=media&token=6a315aed-6f6e-4182-9da7-3d2a680efdeb,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
2cnkYFgLSvSyZWp4kzxZ,Fresh N Local Muskmelon 1pc,600-700Gm Per Pc,in stock,new,60.00 INR,,https://www.freshnlocal.co/product/2cnkYFgLSvSyZWp4kzxZ,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1783156224100_1000192153.jpg?alt=media&token=e6a4545e-9f6b-4df2-a632-2c10fd7ed81f,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
2iEKLwOTvu9ufvoVVTIV,Fresh N Local Fresh Tender Coconut,"Naturally sweet, fat-free raw hydration extracted fresh from selected coastal water coconuts.",in stock,new,75.00 INR,,https://www.freshnlocal.co/product/2iEKLwOTvu9ufvoVVTIV,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782902835747_1000003958.jpg?alt=media&token=57f0189d-2173-48f5-b7da-96faafb1cf54,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
30SRSrLWQ8CMYNucx0uI,Fresh N Local Coconut Matcha,Ceremonial Uji Japanese green matcha whisked directly over chilled sweet coconut water & tender coconut meat pulp.,in stock,new,300.00 INR,,https://www.freshnlocal.co/product/30SRSrLWQ8CMYNucx0uI,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F30SRSrLWQ8CMYNucx0uI%2Foriginal.webp?alt=media&token=2accc23a-9fcb-4a86-ba9d-4bfe9049f4ef,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
3Elt0tW5YJIH6woH5GYi,Fresh N Local Fresh Apple Juice,Rich sweet nectar extracted from selected crisp Kashmir Red Apples. 100% natural oxidization-guarded.,in stock,new,100.00 INR,,https://www.freshnlocal.co/product/3Elt0tW5YJIH6woH5GYi,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782974816513_1000003969.jpg?alt=media&token=28cc92c2-0639-43db-a000-a30747733d74,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
3V8eiq04J3E7nComyh5o,Fresh N Local Portobello Mushroom 200gm,Portobello Mushroom ,in stock,new,250.00 INR,200.00 INR,https://www.freshnlocal.co/product/3V8eiq04J3E7nComyh5o,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782882277735_1000201930.jpg?alt=media&token=6893a6a2-3b31-4a09-a05d-563c5fb8679a,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
3r2PRlSuAtCXtxpaQN9H,Fresh N Local Indian Peach 500gm,Origin - Himachal,in stock,new,150.00 INR,100.00 INR,https://www.freshnlocal.co/product/3r2PRlSuAtCXtxpaQN9H,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F3r2PRlSuAtCXtxpaQN9H%2Foriginal.webp?alt=media&token=b67ad2eb-c963-4edd-b6e1-cdd5bb8cf5ce,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
4Ensw2K5u69wPnmi7egU,Fresh N Local Mango Sticky Rice,"Traditional sweet Thai dessert drink: layered rich coconut milk cream, pandan, sticky rice essence and pure mango pulp.",in stock,new,300.00 INR,,https://www.freshnlocal.co/product/4Ensw2K5u69wPnmi7egU,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1783175086514_1000004116.jpg?alt=media&token=245d80c1-091c-4ce4-8c27-e2e5b888c255,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
4Ib8sjjwT1EVptOYM9Zh,Fresh N Local Fresh Blackberry 125gm,Fresh Blackberry ,in stock,new,825.00 INR,800.00 INR,https://www.freshnlocal.co/product/4Ib8sjjwT1EVptOYM9Zh,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F4Ib8sjjwT1EVptOYM9Zh%2Foriginal.webp?alt=media&token=4f3546bc-bb35-4d4d-bdbd-39ad721a1afc,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
4OjqPIZsyAsAYWcvIqj1,Fresh N Local Mix Fruits Bowl 300gm,"MIX ITEM LIKE PINEAPPLE, GUAVA, GRAPES, APPLE, MUSKMELON, ORANGE (WITH CHAT MASALA)",in stock,new,90.00 INR,80.00 INR,https://www.freshnlocal.co/product/4OjqPIZsyAsAYWcvIqj1,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1783180048202_1000191923.jpg?alt=media&token=4923f2f4-bf2b-49ab-8f8b-77034addf3a3,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
4cSqeBkIaHT4vxu4KKlH,Fresh N Local Zespri Green Kiwi 3pc,Origin - New Zealand ,out of stock,new,150.00 INR,120.00 INR,https://www.freshnlocal.co/product/4cSqeBkIaHT4vxu4KKlH,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F4cSqeBkIaHT4vxu4KKlH%2Foriginal.webp?alt=media&token=df5b3426-0e5e-458c-9b78-98bcfe724880,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
50bZEreLPg6adCRrkVtj,Fresh N Local Brussel Sprouts 250gm,Brussel Sprouts,in stock,new,250.00 INR,,https://www.freshnlocal.co/product/50bZEreLPg6adCRrkVtj,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F50bZEreLPg6adCRrkVtj%2Foriginal.webp?alt=media&token=2d95b168-098f-4294-95c4-cdf955cd0193,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
5EPQxlnjbddzLYJbdkMF,Fresh N Local Muskmelon Kesar Smoothie,Thick musk melon base infused with finest saffron (kesar) strands without any added sugar.,in stock,new,150.00 INR,,https://www.freshnlocal.co/product/5EPQxlnjbddzLYJbdkMF,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1783174181253_1000004109.jpg?alt=media&token=3e9cf906-2320-4a57-96b4-480613f3977e,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
5FUly3iriFyrLilFsymr,Fresh N Local Chinese Bean Sprouts 250gm,Chinese Bean Sprouts,in stock,new,100.00 INR,80.00 INR,https://www.freshnlocal.co/product/5FUly3iriFyrLilFsymr,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1783154131446_1000191966.jpg?alt=media&token=57cc588a-5d27-4a1a-8bd3-cdf9699d8707,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
5HEDUKsIOy0fsOL7d61e,Fresh N Local Green Peas Frozen Hand Peeled 1kg,"1Kg Pack 
Keep Frozen -18°c 
Can Be Used Till 6 Months",in stock,new,100.00 INR,80.00 INR,https://www.freshnlocal.co/product/5HEDUKsIOy0fsOL7d61e,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782881101083_2165.jpg?alt=media&token=143fe716-1931-4c46-96ee-6b7382f654bc,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
5iChZlL9Klp3x1XZPtAt,Fresh N Local Thai Jumbo Taro Root 1pc,600-999Gm Per Pc,in stock,new,650.00 INR,600.00 INR,https://www.freshnlocal.co/product/5iChZlL9Klp3x1XZPtAt,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F5iChZlL9Klp3x1XZPtAt%2Foriginal.webp?alt=media&token=f8a608ab-b75a-45df-8c9a-1b4c03af630b,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
5zWrq4kUpE8btgq9SgZS,Fresh N Local Green Almonds 500gm,Origin Hinachal ,in stock,new,300.00 INR,250.00 INR,https://www.freshnlocal.co/product/5zWrq4kUpE8btgq9SgZS,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1783158361888_1000204692.jpg?alt=media&token=4f1b08ff-3bc0-4055-9158-7b66ce277d24,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
6eX4w6XSQDdwLXp6Qjqq,Fresh N Local Thai Mangosteen 500gm,Origin - Sri Lanka,in stock,new,400.00 INR,,https://www.freshnlocal.co/product/6eX4w6XSQDdwLXp6Qjqq,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F6eX4w6XSQDdwLXp6Qjqq%2Foriginal.webp?alt=media&token=f653fa51-1a0c-4b77-8262-b7853b3b51dc,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
6xynsuXefUzkHa7rUrfk,Fresh N Local Blood Orange 1kg,Blood Orange ,out of stock,new,200.00 INR,,https://www.freshnlocal.co/product/6xynsuXefUzkHa7rUrfk,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1783156671624_1000193372.jpg?alt=media&token=bba1e75a-bc4c-4ac9-bfb3-ca833113e7d5,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
79s9cRRPCJWJR46jaxhW,Fresh N Local Hand Peeled Garlic 100 Gm 100gm,ALL FRUITS AND VEGETABLE ARE CUT AND PEELED IN CONTROLED AND HYGENIC ENVIROMENT AND IT IS PREPARED WITH IN 60 MIN OF DELIVERY TIME,in stock,new,50.00 INR,40.00 INR,https://www.freshnlocal.co/product/79s9cRRPCJWJR46jaxhW,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782816693439_1000191884.jpg?alt=media&token=cc952955-1ff8-4afd-a9c6-e9e7d71facee,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
7REj0zZK7E7AfkbY3u0d,Fresh N Local King Oyster Mushroom 200gm,Origin - Thailand ,in stock,new,280.00 INR,220.00 INR,https://www.freshnlocal.co/product/7REj0zZK7E7AfkbY3u0d,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F7REj0zZK7E7AfkbY3u0d%2Foriginal.webp?alt=media&token=93037db0-52fb-44f0-813a-ef4ced5055de,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
